community_name,Longitude,Latitude
Hawkesbury,-74.6055611,45.610281
Cornwall,-74.728703,45.0184417
Collingwood,-80.2172379,44.5027226
Brockville,-75.6843332,44.5895925
Cobourg,-78.1677784,43.9595998
Midland,-79.885712,44.750147
Thunder Bay,-88.4811791,49.809661
Orillia,-79.4175587,44.6092059
Barrie,-79.6901736,44.3893113
Norfolk,-80.4538365,42.7971532
Ottawa (Kanata - Orléans),-75.483733885631,45.4528793
Leamington,-82.5996998,42.0531166
Chatham-Kent,-82.0898417,42.41833
Toronto,-79.3839347,43.6534817
Sault Ste. Marie,-84.320068,46.52391
Kingston,-76.481323,44.230687
Hamilton,-79.8728583,43.2560802
Brantford,-80.2631733,43.1408157
Guelph,-80.2493276,43.5460516
Kitchener-Waterloo,-80.5036847,43.4528527
Vaughan,-79.5268023,43.7941544
Peterborough,-78.3199496,44.3048009
Kawartha Lakes (Lindsay),-78.7482122388097,44.3543748
Windsor,-83.0373389,42.3167397
Kenora,-89.1618188,54.0245941
St. Catharines,-79.2441003,43.1579812
Belleville,-77.3852556,44.1633264
Timmins,-81.330414,48.477473
Oshawa,-78.8635324,43.8975558
Whitby,-78.9421751,43.87982
Owen Sound,-80.9430094,44.5678105
Petawawa,-77.2826645,45.8984286
Pembroke,-77.113541,45.8260909
Temiskaming Shores,-79.6789029,47.508731
North Bay,-79.4607617,46.3092115
Mississauga,-79.6443879,43.5896231
Sarnia,-82.4065585,42.9746137
Sudbury (Greater),-80.9921545,46.487489
