community_name,Longitude,Latitude,total_w
Hawkesbury,-74.6055611,45.610281,425640.59999999957
Cornwall,-74.728703,45.0184417,3455522.4000000046
Collingwood,-80.2172379,44.5027226,5606309.7
Brockville,-75.6843332,44.5895925,6240811.5
Cobourg,-78.1677784,43.9595998,4508331.75
Midland,-79.885712,44.750147,9892894.500000002
Thunder Bay,-88.4811791,49.809661,116022770.10000001
Orillia,-79.4175587,44.6092059,12565946.850000001
Barrie,-79.6901736,44.3893113,50313002.25000001
Norfolk,-80.4538365,42.7971532,19021184.700000003
Ottawa (Kanata - Orléans),-75.48373388563095,45.4528793,87947161.0500001
Leamington,-82.5996998,42.0531166,19039610.700000003
Chatham-Kent,-82.0898417,42.41833,66906300.0
Toronto,-79.3839347,43.6534817,1238591362.5
Sault Ste. Marie,-84.320068,46.52391,47025891.0
Kingston,-76.481323,44.230687,20881339.200000007
Hamilton,-79.8728583,43.2560802,207279726.3
Brantford,-80.2631733,43.1408157,48576463.800000004
Guelph,-80.2493276,43.5460516,50549888.400000006
Kitchener-Waterloo,-80.5036847,43.4528527,162690325.20000002
Vaughan,-79.5268023,43.7941544,51431248.800000004
Peterborough,-78.3199496,44.3048009,18852885.60000001
Kawartha Lakes (Lindsay),-78.74821223880971,44.3543748,11455381.950000007
Windsor,-83.0373389,42.3167397,115281260.55
Kenora,-89.1618188,54.0245941,13720510.05
St. Catharines,-79.2441003,43.1579812,61927607.25000004
Belleville,-77.3852556,44.1633264,10051968.150000006
Timmins,-81.330414,48.477473,23948670.6
Oshawa,-78.8635324,43.8975558,53286423.30000001
Whitby,-78.9421751,43.87982,16853477.85
Owen Sound,-80.9430094,44.5678105,13810722.750000004
Petawawa,-77.2826645,45.8984286,1503213.0
Pembroke,-77.113541,45.8260909,2475309.0
Temiskaming Shores,-79.6789029,47.508731,5397124.800000001
North Bay,-79.4607617,46.3092115,28215621.750000004
Mississauga,-79.6443879,43.5896231,146027295.0
Sarnia,-82.4065585,42.9746137,39105574.5
Sudbury (Greater),-80.9921545,46.487489,88588410.75
